AAA = (MJJ, QBJ)
GNZ = (KPG, KTV)
GQC = (FTV, DJD)
GQH = (JDT, JRX)
GQN = (RKT, NKK)
GQT = (LCN, DTK)
GRB = (SVJ, KHH)
GRG = (NPJ, LNN)
GRH = (QLQ, FLV)
GRQ = (MVQ, RVP)
GSC = (QVF, MJM)
GSF = (CKS, BVB)
GSG = (QJP, CLF)
GSR = (GLN, NQG)
GTC = (CGP, BLS)
GTG = (BJG, HPL)
GTJ = (GRB, TKB)
GVL = (VMV, DKF)
HBB = (XKH, FBQ)
HBD = (HBB, CKC)
HBH = (HNG, FKF)
HBL = (LVT, JXF)
HCC = (RDN, TRJ)
HCP = (MPV, NVL)
HCQ = (FFT, CBC)
HDD = (GCD, FSC)
HDF = (SMX, HGC)
HFF = (MGM, KSX)
HGC = (DBX, QTF)
HGJ = (FCK, HGS)
HGR = (PVX, LFX)
HGS = (FKM, BNR)
HHG = (RTC, RPQ)
HJG = (GHN, GHN)
HJL = (KFX, BBK)
HJM = (KBN, LSX)
HKK = (NCG, RGM)
HMR = (PCP, LMJ)
HMT = (BLB, CLR)
HND = (RDL, PXS)
HNG = (VXF, MVH)
HPG = (GSR, BQV)
HPL = (BDN, TVF)
HPX = (TKF, CFG)
HQD = (BPR, SJK)
HQF = (MQF, FTK)
HQG = (GHK, RRL)
HQH = (TTQ, LDQ)
HQN = (CKS, BVB)
HQQ = (CJD, DVT)
HQR = (CXG, CPR)
HQS = (NKP, FRN)
HRC = (GRH, RFF)
HRM = (RNH, GKS)
HSJ = (PHB, JTH)
HTS = (KXR, KVB)
HVC = (MCV, RPC)
HVP = (VCD, LJL)
HXV = (SMH, BJP)
JCF = (GHM, NKS)
JCJ = (NJF, MFR)
JCK = (QCD, NRG)
JCS = (HJG, FPV)
JDT = (FPN, DTC)
JFD = (LVD, LTQ)
JFJ = (HHG, LVQ)
JGS = (CTJ, LPF)
JGT = (SFN, GQT)
JHC = (CDX, MRG)
JHT = (HRC, NVR)
JHX = (CJD, DVT)
JJX = (MKM, TJJ)
JKJ = (PMX, MHH)
JLH = (CKG, XLV)
JLJ = (DQH, GGB)
JLP = (NJF, MFR)
JLV = (SMG, RPH)
JLX = (VJK, FMJ)
JMC = (PLP, HJL)
JMM = (RBK, JPL)
JMR = (HFF, FPS)
JNC = (BPB, SLZ)
JPC = (KQH, HQD)
JPF = (VCS, CMQ)
JPJ = (GHM, NKS)
JPL = (QLB, RQT)
JQJ = (NVT, HGR)
JRX = (FPN, DTC)
JSP = (MHN, FHD)
JTF = (LSL, BHB)
JTH = (LPD, DDK)
JTV = (FSD, PHM)
JVA = (RMT, DPF)
JVF = (RGM, NCG)
JXD = (GTC, CKJ)
JXF = (PMG, NBN)
JXM = (MVQ, RVP)
JXP = (QXB, QVT)
KBD = (QPT, FDV)
KBF = (XNM, HBL)
KBG = (RPV, MDX)
KBN = (STS, VKN)
KCN = (QVR, TDG)
KCT = (PFS, PFB)
KDB = (QKT, BJB)
KDN = (LLS, DLN)
KDX = (MHH, PMX)
KFB = (MFS, QVD)
KFK = (PLL, GQC)
KFL = (QXP, CHL)
KFT = (LCD, QCL)
KFV = (FXH, QLX)
KFX = (DJT, LLJ)
KGC = (VQM, LTG)
KHH = (CQL, HQF)
KHR = (QGL, NCM)
KJP = (FKG, CJZ)
KKN = (DCC, CCH)
KKT = (QHR, GNZ)
KKX = (JHX, HQQ)
KMC = (RPR, NRL)
KMD = (KFV, RJJ)
KNA = (KTV, KPG)
KNS = (VCD, LJL)
KPG = (LKK, VGH)
KPL = (DJB, VLV)
KPP = (FLQ, XTX)
KQF = (HBH, MGJ)
KQH = (SJK, BPR)
KQM = (BJV, MND)
KQS = (PFB, PFS)
KRH = (QHR, QHR)
KRS = (FQR, PXB)
KSX = (RDH, PTT)
KTB = (BSJ, SCL)
KTL = (HFF, FPS)
KTR = (DJB, VLV)
KTV = (LKK, VGH)
KVB = (KRH, KKT)
KVL = (VFV, SRV)
KVX = (GRG, PMJ)
KXM = (RNF, FNK)
KXR = (KRH, KRH)
LBH = (DFJ, SPC)
LBJ = (SFN, GQT)
LCD = (FNM, XNT)
LCN = (QLT, MTG)
LDK = (KTL, JMR)
LDQ = (LVR, BFV)
LDS = (FGF, XHG)
LFC = (LSS, GQN)
LFS = (XTX, FLQ)
LFX = (MHK, SXL)
LGG = (BXD, FVX)
LJB = (QQC, KFK)
LJC = (RNF, FNK)
LJL = (GBX, FCH)
LKK = (LLM, LPV)
LKV = (CGQ, XNQ)
LLJ = (NVX, BTR)
LLM = (GMX, VLX)
LLS = (TXM, QRG)
LLX = (KBF, TDV)
LMJ = (BPL, XSF)
LMK = (QQT, QTP)
LMQ = (LMK, BVF)
LNN = (KTB, QRV)
LNV = (XLR, KQF)
LPD = (NTM, NTM)
LPF = (SRD, BHH)
LPH = (HDD, DVM)
LPP = (FSD, PHM)
LPV = (GMX, VLX)
LRB = (TXD, MPR)
LRR = (DPQ, XTB)
LSH = (QTS, VRJ)
LSL = (NGH, KCN)
LSS = (RKT, NKK)
LSX = (VKN, STS)
LTG = (RMV, CJC)
LTQ = (SLS, PKV)
LVD = (SLS, PKV)
LVQ = (RTC, RPQ)
LVR = (CNB, FGX)
LVT = (PMG, NBN)
LXQ = (GRB, TKB)
MBP = (RGB, SQK)
MCQ = (RTG, CTK)
MCV = (PHR, JFD)
MDK = (RPV, MDX)
MDL = (FFT, CBC)
MDX = (BPT, GKH)
MFN = (GHK, RRL)
MFR = (DMF, CFD)
MFS = (VML, QHT)
MGJ = (FKF, HNG)
MGM = (RDH, RDH)
MHD = (JCF, JPJ)
MHH = (VGS, TRH)
MHK = (VTP, KKX)
MHN = (DHV, KMD)
MHS = (FCV, JXD)
MJF = (RXX, SGS)
MJJ = (DJH, RDQ)
MJM = (DLM, BQS)
MJQ = (BCC, KFL)
MJX = (VHC, PXF)
MKK = (HCQ, MDL)
MKM = (HPG, QLV)
MLH = (MQJ, VDR)
MLL = (NHV, PPJ)
MLM = (FQT, KDB)
MLX = (VLJ, QQP)
MND = (MDK, KBG)
MPH = (PFV, SHX)
MPR = (HQG, MFN)
MPS = (QTX, DGF)
MPV = (CGR, TSC)
MQD = (FQT, KDB)
MQF = (DDG, LSH)
MQJ = (JHT, SGH)
MQQ = (HCQ, MDL)
MRG = (TNN, LLX)
MRJ = (LDK, SSQ)
MRP = (CGF, VKD)
MSH = (GFM, JHC)
MTB = (LMJ, PCP)
MTG = (KGC, DMM)
MTV = (PLP, HJL)
MVH = (FVL, XRR)
MVL = (SMG, RPH)
MVQ = (HBD, RBC)
NBN = (LPH, XFB)
NCG = (NRT, FVP)
NCM = (RPG, HGJ)
NDH = (FHJ, GML)
NFS = (SNP, QLP)
NGG = (RPL, DFV)
NGH = (QVR, TDG)
NHP = (FKG, FKG)
NHV = (PHJ, DMH)
NJF = (DMF, CFD)
NJH = (RXG, PFF)
NKK = (FCX, PMT)
NKP = (JTF, BJH)
NKS = (QDQ, DPP)
NMS = (TRJ, RDN)
NPJ = (QRV, KTB)
NQG = (RMX, NGG)
NRB = (QTX, DGF)
NRG = (LDS, SCH)
NRL = (XPP, XGM)
NRT = (FJD, HTS)
NRV = (DXF, DXF)
NSN = (GFM, JHC)
NTH = (QQV, MHS)
NTM = (BPB, BPB)
NVD = (HKK, JVF)
NVL = (CGR, TSC)
NVM = (NVL, MPV)
NVR = (RFF, GRH)
NVT = (LFX, PVX)
NVX = (TLD, GMD)
PBL = (DMS, KFB)
PBN = (RDL, PXS)
PCP = (XSF, BPL)
PCT = (DXR, PTS)
PDP = (NDH, XGL)
PFB = (SXR, BVC)
PFF = (DLD, MRJ)
PFS = (BVC, SXR)
PFV = (STX, XHF)
PFZ = (PXF, VHC)
PGB = (RVG, TRS)
PGK = (SNP, QLP)
PHB = (LPD, LPD)
PHH = (CHT, CRN)
PHJ = (PBN, HND)
PHM = (MJF, XNH)
PHR = (LTQ, LVD)
PKP = (RFL, GSG)
PKV = (DBR, PGB)
PLC = (XLV, CKG)
PLL = (DJD, FTV)
PLP = (BBK, KFX)
PMG = (LPH, XFB)
PMJ = (LNN, NPJ)
PMP = (NHP, KJP)
PMT = (SGQ, DXG)
PMX = (TRH, VGS)
PNQ = (DSF, PSH)
PPJ = (DMH, PHJ)
PSH = (GQH, RBQ)
PTS = (KCT, KQS)
PTT = (VNT, FNX)
PVJ = (MQD, MLM)
PVX = (MHK, SXL)
PXB = (QBF, CLH)
PXF = (QXM, HDF)
PXS = (MLX, QJV)
QBF = (VKF, XHQ)
QBJ = (RDQ, DJH)
QBK = (VNF, JFJ)
QCD = (SCH, LDS)
QCG = (FKV, NVD)
QCL = (FNM, XNT)
QCM = (QVT, QXB)
QCZ = (BLP, RXT)
QDF = (CXG, CPR)
QDN = (RXG, PFF)
QDP = (QTD, JGS)
QDQ = (SJV, MRP)
QFF = (BJM, QCG)
QFS = (DFQ, FHB)
QGL = (RPG, HGJ)
QGN = (MPR, TXD)
QHR = (KTV, KPG)
QHT = (TTD, LBH)
QJN = (LSX, KBN)
QJP = (PCT, XKJ)
QJV = (QQP, VLJ)
QKM = (JTV, LPP)
QKP = (MQD, MLM)
QKQ = (PPJ, NHV)
QKT = (XPV, BVJ)
QLB = (RCH, QVQ)
QLP = (BLN, DFD)
QLQ = (TLV, KDN)
QLT = (KGC, DMM)
QLV = (GSR, BQV)
QLX = (GCH, KBD)
QNK = (XNQ, CGQ)
QPH = (RKJ, CSC)
QPT = (RRH, CKQ)
QQC = (GQC, PLL)
QQP = (XJB, HSJ)
QQT = (GMN, DJV)
QQV = (JXD, FCV)
QRG = (JLP, JCJ)
QRK = (TSF, QFS)
QRV = (SCL, BSJ)
QTD = (CTJ, LPF)
QTF = (KVL, DLS)
QTG = (JPJ, JCF)
QTM = (CKR, JPC)
QTP = (DJV, GMN)
QTS = (QTG, MHD)
QTX = (FMX, PKP)
QVD = (VML, QHT)
QVF = (BQS, DLM)
QVQ = (DKD, QTM)
QVR = (MKK, MQQ)
QVT = (JCK, DJQ)
QXA = (VHC, PXF)
QXB = (DJQ, JCK)
QXM = (HGC, SMX)
QXP = (HPX, TGV)
RBC = (CKC, HBB)
RBK = (QLB, RQT)
RBN = (RKK, RQN)
RBQ = (JDT, JRX)
RCH = (QTM, DKD)
RCN = (NRV, CCL)
RDH = (VNT, VNT)
RDL = (QJV, MLX)
RDN = (PVJ, QKP)
RDQ = (MCQ, FBG)
RDS = (LFC, RNK)
RFF = (FLV, QLQ)
RFL = (QJP, CLF)
RGB = (GBF, JCS)
RGM = (NRT, FVP)
RHQ = (RJH, KKN)
RJH = (DCC, CCH)
RJJ = (FXH, QLX)
RJX = (KKN, RJH)
RKJ = (PDP, BLD)
RKK = (SSK, SSK)
RKM = (VPH, PHH)
RKT = (PMT, FCX)
RMD = (XQV, KFT)
RMN = (QTD, JGS)
RMT = (QKM, XCP)
RMV = (NMS, HCC)
RMX = (DFV, RPL)
RNF = (QFF, CKV)
RNH = (BXH, BXH)
RNK = (LSS, GQN)
RPC = (PHR, JFD)
RPG = (FCK, HGS)
RPH = (RSN, VBM)
RPL = (JKJ, KDX)
RPQ = (FJB, RMD)
RPR = (XGM, XPP)
RPV = (GKH, BPT)
RQK = (RPR, NRL)
RQN = (SSK, PMP)
RQT = (QVQ, RCH)
RRH = (NJH, QDN)
RRL = (JMM, VBN)
RSN = (SBN, DQF)
RTC = (RMD, FJB)
RTG = (GSF, HQN)
RVG = (QPH, GCS)
RVP = (HBD, RBC)
RXG = (MRJ, DLD)
RXT = (LJB, XVK)
RXX = (KMC, RQK)
SBN = (KXM, LJC)
SCH = (FGF, XHG)
SCJ = (HQH, XSD)
SCL = (DKS, TJH)
SFN = (LCN, DTK)
SGH = (NVR, HRC)
SGQ = (JLV, MVL)
SGS = (KMC, RQK)
SHX = (XHF, STX)
SJK = (JXM, GRQ)
SJV = (CGF, VKD)
SLD = (MSH, NSN)
SLS = (PGB, DBR)
SLZ = (JGT, LBJ)
SMG = (RSN, VBM)
SMH = (RHQ, RJX)
SMX = (DBX, QTF)
SNP = (BLN, DFD)
SNS = (VJK, FMJ)
SPC = (LRR, SXC)
SQK = (GBF, JCS)
SRD = (KPP, LFS)
SRJ = (PFV, SHX)
SRT = (XTP, DRK)
SRV = (HQS, VBD)
SSK = (NHP, NHP)
SSQ = (KTL, JMR)
STS = (BSB, TMP)
STT = (LMQ, BXS)
STX = (QBK, VDC)
SVJ = (CQL, HQF)
SXC = (XTB, DPQ)
SXL = (KKX, VTP)
SXR = (TLJ, JSP)
TCF = (DSF, PSH)
TCJ = (RDS, BJQ)
TCK = (JPF, VST)
TDG = (MKK, MQQ)
TDV = (HBL, XNM)
TGV = (TKF, CFG)
TJH = (KPL, KTR)
TJJ = (QLV, HPG)
TKB = (SVJ, KHH)
TKD = (MJJ, QBJ)
TKF = (BTF, JQJ)
TLD = (JLJ, VFL)
TLJ = (FHD, MHN)
TLV = (DLN, LLS)
TMP = (KHR, FGL)
TNN = (KBF, TDV)
TPR = (BXD, FVX)
TQB = (VFP, VGF)
TRH = (SRT, VJV)
TRJ = (PVJ, QKP)
TRS = (QPH, GCS)
TSC = (FMS, KRS)
TSF = (FHB, DFQ)
TTD = (SPC, DFJ)
TTQ = (BFV, LVR)
TVF = (JMC, MTV)
TXD = (MFN, HQG)
TXM = (JLP, JCJ)
VBD = (NKP, FRN)
VBG = (HJM, QJN)
VBM = (SBN, DQF)
VBN = (RBK, JPL)
VCD = (FCH, GBX)
VCS = (TQB, BBM)
VDC = (JFJ, VNF)
VDR = (JHT, SGH)
VDX = (FRV, HXV)
VFK = (VDR, MQJ)
VFL = (GGB, DQH)
VFP = (JXP, QCM)
VFV = (VBD, HQS)
VGF = (QCM, JXP)
VGH = (LLM, LPV)
VGS = (VJV, SRT)
VHC = (QXM, HDF)
VJK = (KQM, DHQ)
VJN = (RMN, QDP)
VJV = (XTP, DRK)
VKD = (STT, FXF)
VKF = (JLX, SNS)
VKN = (TMP, BSB)
VLF = (RDS, BJQ)
VLJ = (XJB, HSJ)
VLV = (SLD, BQX)
VLX = (KVX, FTT)
VMC = (RPC, MCV)
VML = (TTD, LBH)
VMV = (RCN, XJS)
VNF = (LVQ, HHG)
VNH = (XSD, HQH)
VNT = (MJX, MJX)
VPH = (CRN, CHT)
VQC = (KQF, XLR)
VQM = (RMV, CJC)
VRJ = (QTG, MHD)
VST = (VCS, CMQ)
VTP = (HQQ, JHX)
VXF = (XRR, FVL)
VXP = (VBG, XQX)
VXR = (XQX, VBG)
XBS = (TKD, TKD)
XCP = (LPP, JTV)
XFB = (DVM, HDD)
XFJ = (DKF, VMV)
XGL = (GML, FHJ)
XGM = (VFK, MLH)
XHF = (QBK, VDC)
XHG = (SRJ, MPH)
XHQ = (JLX, SNS)
XJB = (PHB, JTH)
XJS = (NRV, CCL)
XKH = (GHJ, FSV)
XKJ = (DXR, PTS)
XLR = (HBH, MGJ)
XLV = (LKV, QNK)
XNH = (SGS, RXX)
XNM = (JXF, LVT)
XNQ = (GTJ, LXQ)
XNT = (RKM, XRV)
XNV = (CLR, BLB)
XPP = (MLH, VFK)
XPV = (MJQ, BHG)
XQV = (LCD, QCL)
XQX = (HJM, QJN)
XRR = (MTB, HMR)
XRV = (VPH, PHH)
XSD = (TTQ, LDQ)
XSF = (BGT, FCN)
XTB = (JJX, GNL)
XTP = (HMT, XNV)
XTX = (TPR, LGG)
XVK = (KFK, QQC)
ZZZ = (QBJ, MJJ)
